id,answer
1, มีลักษณะคล้ายกับการเพิ่มทุนแบบเสนอขายให้ผู้ถือหุ้นเดิม
2, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
3, และราคาที่ใช้ชำระในการซื้อขายนั้นจะเป็นคนละราคากัน
4, กำไรจากการที่ผู้ลงทุนขายตราสารหนี้ในราคาที...
5,ผลตอบแทนและความเสี่ยงของกองทุนรวม
6, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
7,ผลตอบแทนและความเสี่ยงของกองทุนรวม
8, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
9, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
10,ผลตอบแทนและความเสี่ยงของกองทุนรวม
11, ดอกเบี้ยที่ผู้ลงทุนได้รับ
12,หน่วยการซื้อขายในตลาดหลักทรัพย์แห่งประเทศไทยที่กำหนดบนการซื้อขายหลัก
13, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
14, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
15,ผลตอบแทนและความเสี่ยงของกองทุนรวม
16, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
17, กำไรจากการที่ผู้ลงทุนขายตราสารหนี้ในราคาที...
18, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
19, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
20, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
21,ผลตอบแทนและความเสี่ยงของกองทุนรวม
22,ผลตอบแทนและความเสี่ยงของกองทุนรวม
23,ผลตอบแทนและความเสี่ยงของกองทุนรวม
24, 2 รูปแบบใหญ่ๆ
25, ซึ่งเป็นการประเมินมูลค่าโดยวัดจากสินทรัพย์หรือความสามารถในการทำกำไรจากตัวบริษัทเอง
26,การวิเคราะห์และกลยุทธ์การลงทุนในกองทุนรวม  3.แหล่งข้อมูลสำคัญของกองทุนรวม
27, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
28, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
29, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
30, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
31, กำไรจากการที่ผู้ลงทุนขายตราสารหนี้ในราคาที...
32,ผลตอบแทนและความเสี่ยงของกองทุนรวม
33, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
34, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
35, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
36, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
37, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
38, และราคาที่ใช้ชำระในการซื้อขายนั้นจะเป็นคนละราคากัน
39, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
40,ผลตอบแทนและความเสี่ยงของกองทุนรวม
41, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
42, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
43,ผลตอบแทนและความเสี่ยงของกองทุนรวม
44, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
45, มีลักษณะคล้ายกับการเพิ่มทุนแบบเสนอขายให้ผู้ถือหุ้นเดิม
46, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
47,ผลตอบแทนและความเสี่ยงของกองทุนรวม
48, ผู้ลงทุนมีหน้าที่ต้องเสียภาษี
49, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
50, ตราสารทุน
51, เส้นที่แสดงความสัมพันธ์ของอัตราผลตอบแทนถึงวันครบกำหนด
52, ตลาดหลักทรัพย์สามารถสั่งหยุดการซื้อขายชั่วคราวได้
53,ผลตอบแทนและความเสี่ยงของกองทุนรวม
54, ดัชนีหลักทรัพย์ คือ ค่าทางสถิติที่ใช้วัดภาพรวมการเปลี่ยนแปลงของราคาหลักทรัพย์
55,การวัดผลการดำเนินงานของกองทุนรวม
56,ตราสารที่เชื่อมโยงกับตราสารทุน
57, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
58,ผลตอบแทนและความเสี่ยงของกองทุนรวม
59, กำไรจากการที่ผู้ลงทุนขายตราสารหนี้ในราคาที...
60, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
61, ผู้ลงทุนมีหน้าที่ต้องเสียภาษี
62, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
63, ค่าทางสถิติที่ใช้วัดภาพรวมการเปลี่ยนแปลงของราคาหลักทรัพย์
64, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
65, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
66, เส้นที่แสดงความสัมพันธ์ของอัตราผลตอบแทนถึงวันครบกำหนด
67, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
68, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
69, ผู้ลงทุนมีหน้าที่ต้องเสียภาษี
70, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
71, มีลักษณะคล้ายกับการเพิ่มทุนแบบเสนอขายให้ผู้ถือหุ้นเดิม
72, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
73, เครื่องมือที่ใช้วัดการเคลื่อนไหวของกลุ่มตราสารหนี้ภายใต้ดัชนี
74, มีลักษณะคล้ายกับการเพิ่มทุนแบบเสนอขายให้ผู้ถือหุ้นเดิม
75,ภาพรวมของผลตอบแทนและความเสี่ยงของกองทุนรวม เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
76, 1.1ความหมายของตราสารหนี้ ตราสารหนี้ เปรียบเสมือนสัญญาการกู้ยืม
77,ผลตอบแทนและความเสี่ยงของกองทุนรวม
78, 5.ความเสี่ยงของตราสารทุน
79,การวัดผลการดำเนินงานของกองทุนรวม
80, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
81, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
82, ผู้ลงทุนมีหน้าที่ต้องเสียภาษี
83,ข้อมูลจากตลาดหลักทรัพย์ฯ และบทวิเคราะห์จาก บล.
84,ภาพรวมของผลตอบแทนและความเสี่ยงของกองทุนรวม
85, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
86, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน ดังนั้นผลตอบแทนและความเสี่ยงขึ้นอยู่กับ...
87, สูง
88, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
89, ดัชนีหลักทรัพย์ คือ ค่าทางสถิติที่ใช้วัดภาพรวมการเปลี่ยนแปลงของราคาหลักทรัพย์
90, เส้นที่แสดงความสัมพันธ์ของอัตราผลตอบแทนถึงวันครบกำหนด
91, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
92, ดัชนีหลักทรัพย์ คือ ค่าทางสถิติที่ใช้วัดภาพรวมการเปลี่ยนแปลงของราคาหลักทรัพย์
93, มีลักษณะคล้ายกับการเพิ่มทุนแบบเสนอขายให้ผู้ถือหุ้นเดิม
94,ผลตอบแทนและความเสี่ยงของกองทุนรวม
95, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
96,ภาพรวมของผลตอบแทนและความเสี่ยงของกองทุนรวม
97, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
98,ผลตอบแทนและความเสี่ยงของกองทุนรวม
99, ตลาดหลักทรัพย์แห่งประเทศไทยเปิดซื้อขายครั้งแรก โดยใช้ระบบการซื้อขายแบบประมู...
100, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
101, มีลักษณะคล้ายกับการเพิ่มทุนแบบเสนอขายให้ผู้ถือหุ้นเดิม
102, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
103,ผลตอบแทนและความเสี่ยงของกองทุนรวม
104, ตลาดหลักทรัพย์สามารถสั่งหยุดการซื้อขายชั่วคราวได้
105, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
106, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
107, มีลักษณะคล้ายกับการเพิ่มทุนแบบเสนอขายให้ผู้ถือหุ้นเดิม
108, เครื่องมือที่ใช้วัดการเคลื่อนไหวของกลุ่มตราสารหนี้ภายใต้ดัชนี
109, ตลาดหลักทรัพย์แห่งประเทศไทยเปิดซื้อขายครั้งแรก โดยใช้ระบบการซื้อขายแบบประมู...
110, ผู้ลงทุนมีหน้าที่ต้องเสียภาษี
111, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
112, กำไรจากการที่ผู้ลงทุนขายตราสารหนี้ในราคาที...
113, ดังนั้นผลตอบแทนและความเสี่ยงขึ้นอยู่กับ...
114,ผลตอบแทนและความเสี่ยงของกองทุนรวม
115, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
116, เครื่องมือที่ใช้วัดการเคลื่อนไหวของกลุ่มตราสารหนี้ภายใต้ดัชนี
117, 1.1ความหมายของตราสารหนี้ ตราสารหนี้ เปรียบเสมือนสัญญาการกู้ยืม
118, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
119, มีลักษณะคล้ายกับการเพิ่มทุนแบบเสนอขายให้ผู้ถือหุ้นเดิม
120, มีลักษณะคล้ายกับการเพิ่มทุนแบบเสนอขายให้ผู้ถือหุ้นเดิม
121, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
122, มีลักษณะคล้ายกับการเพิ่มทุนแบบเสนอขายให้ผู้ถือหุ้นเดิม
123, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
124, มีความสัมพันธ์แบบผ...
125, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
126, ของหุ้นเพื่อใช้ในการตัดสินใจลงทุน  สำหรับผู้ลงทุน  และใช้ในประกอบการกำหนดราคาออกขายหลักทรัพย์
127, ผู้ลงทุนมีหน้าที่ต้องเสียภาษี
128, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
129, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
130, มีลักษณะคล้ายกับการเพิ่มทุนแบบเสนอขายให้ผู้ถือหุ้นเดิม
131,ผลตอบแทนและความเสี่ยงของกองทุนรวม
132, ตลาดหลักทรัพย์แห่งประเทศไทยเปิดซื้อขายครั้งแรก
133, มีความสัมพันธ์แบบผ...
134, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
135, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
136, เนื่องจากกองทุนรวมเป็นการระดมเงินจากผู้ลงทุนไปลงทุนในสินทรัพย์ตามนโยบายการลงทุน
